,0.1_napp,0.3_napp,0.5_napp,0.7_napp,kx,0.1_kapp,0.3_kapp,0.5_kapp,0.7_kapp
0,5.346160514747649,5.125830731362154,5.0766168926049575,5.055056046604007,0.01,0.01060401371185036,0.010232882883519248,0.010143207992365948,0.010103324884089233
1,5.356114361338501,5.129327392657925,5.078717073292853,5.056555334729837,0.010974987654930561,0.011621580119808607,0.011225036853607932,0.011128791616519177,0.011085966380071692
2,5.366998106090532,5.133164354930467,5.081022491769421,5.058201356392496,0.012045035402587823,0.01273804070096351,0.012313982510928493,0.012210516748681139,0.012164452412195319
3,5.378931701697334,5.137394301423985,5.083565985235403,5.060017904172734,0.013219411484660288,0.013963240777035407,0.013509313153683705,0.013397860785256838,0.013348204724835923
4,5.392063827876152,5.1420841621321784,5.086389471981656,5.062035450877918,0.014508287784959394,0.015308094960167147,0.014821633167615346,0.014701275483384056,0.01464760124005784
5,5.406572882097151,5.147319838121158,5.089547228756471,5.064293549370363,0.015922827933410922,0.01678471448233254,0.016262692733154473,0.016132307065112633,0.016074087985105793
6,5.422672995675896,5.153213453955567,5.09311131374027,5.066845110907266,0.01747528400007684,0.018406574491178194,0.01784555949354156,0.017703746215122964,0.017640316724982244
7,5.440637548499057,5.159918149790238,5.097180908688506,5.069763173938409,0.019179102616724886,0.020188791444172956,0.019584860997194732,0.019429825312372008,0.01936031888731924
8,5.460813658913275,5.167648793975816,5.1018973562939625,5.073152661286739,0.02104904144512021,0.022148429481430303,0.021497117361318156,0.021326487695660517,0.02124973919558263
9,5.483657715853133,5.176714965790619,5.107466281938402,5.077165873349306,0.023101297000831605,0.024304977421992575,0.023601221028984848,0.02341175698872197,0.02332614108426279
10,5.509773830453961,5.187557943052992,5.114181802642444,5.082022172999164,0.025353644939701114,0.02668092204253625,0.025919039520167636,0.025706190830556364,0.025609388847866024
11,5.539882238270436,5.200743992471927,5.122420180558219,5.088000468982396,0.027825594022071243,0.029301931775130678,0.028475809672212533,0.028233188018394806,0.028121902998494094
12,5.574614231726158,5.216812341484562,5.132532373747367,5.095358017711308,0.030538555088334154,0.03219561676705941,0.03129940710665186,0.031018514042604823,0.03088833727699082
13,5.613960442985647,5.235890410760417,5.144587371045676,5.104139363978015,0.033516026509388425,0.03538711835469337,0.034417415497188984,0.034088392366724216,0.033934199411145276
14,5.656670720434588,5.257369797701474,5.158179647748257,5.114041157051043,0.03678379771828634,0.03889313370443709,0.03785391508406583,0.037467615630534426,0.03728456063791807
15,5.70057284374533,5.28028715281147,5.1727108003497895,5.124630315792878,0.040370172585965536,0.042722561233522215,0.04163190909610561,0.04118154418204323,0.0409656956238889
16,5.743936234706245,5.304200116869884,5.187955799234596,5.135758893015621,0.044306214575838825,0.046886967209278714,0.04578124220015365,0.04526146283537116,0.04500912011140432
17,5.786190986769309,5.329456545806906,5.204206941411998,5.147659836249629,0.04862601580065353,0.05140750590967213,0.0503425650000728,0.04974711136408605,0.049453472791608055
18,5.827283871070864,5.356719155259012,5.221955882006702,5.160710193004098,0.0533669923120631,0.056309748740167656,0.0553642306547453,0.05468476400713391,0.05434317376222251
19,5.866819747755547,5.3864645149340005,5.241577217275836,5.175201282334417,0.05857020818056667,0.06161463987756255,0.06089753621592018,0.060124408601727186,0.0597264822456274
20,5.9037946421404435,5.4188120630645615,5.263226676064853,5.19126698264505,0.06428073117284322,0.0673336638853919,0.06699419901624198,0.06611844447544768,0.06565470132185736
21,5.9367996623420725,5.45362398616057,5.286912212698038,5.208938729776314,0.07054802310718646,0.07346880150197557,0.07370669184844567,0.07272230346627777,0.0721828343734083
22,5.96431792750624,5.490681103714482,5.312612504576686,5.228233175996896,0.0774263682681127,0.08001433109033927,0.0810900868384736,0.07999613536415937,0.07937103704187264
23,5.984882953279131,5.529773893474072,5.340339450594034,5.249200387007166,0.08497534359086446,0.08695765089752582,0.08920330856569303,0.0880061931543776,0.08728591713742906
24,5.997104679258832,5.570690497500425,5.370133040860053,5.271921221748313,0.093260334688322,0.0942785699084101,0.09810891645698844,0.09682533808537994,0.09600121653710993
25,5.999665613268029,5.613169566070579,5.402032913638153,5.296488464062679,0.10235310218990264,0.10194814279814575,0.10787195539163145,0.10653302396010385,0.10559818117381631
26,5.991340867503785,5.656863542302264,5.436055862255442,5.322992446653255,0.11233240329780277,0.10992793288695683,0.11855849777197033,0.11721516955101488,0.11616592237670709
27,5.971037337648368,5.701317178927218,5.472181083115673,5.351512503170072,0.12328467394420665,0.11816983336145308,0.13023399367127672,0.1289639567946818,0.12780181207464433
28,5.9378371220416195,5.745953562476415,5.510338455198202,5.382110610125974,0.13530477745798075,0.12661634005525305,0.14296129699703544,0.14187745283802353,0.1406118445988076
29,5.891035952267761,5.7900649928203825,5.550396062674369,5.414824209518154,0.1484968262254465,0.13520117888800126,0.1567983025396334,0.1560589088000036,0.1547108616752742
30,5.830173651203844,5.832808474936861,5.592146844135281,5.449657919721998,0.16297508346206444,0.14385025977920096,0.17179518066271335,0.1716156456615487,0.17022257524435305
31,5.755055012242873,5.87320743940842,5.63529453498466,5.486573252524726,0.1788649529057435,0.15248292718411016,0.18799127401948193,0.1886574304842576,0.18727927544290213
32,5.665760429121429,5.91016085614238,5.679439599211309,5.525478734770429,0.19630406500402714,0.16101347305687444,0.2054117553827964,0.20729425348508765,0.20602121208559948
33,5.5626463208895105,5.942461199214168,5.724066483189358,5.566214428287716,0.21544346900318845,0.16935287416510936,0.22406421846169297,0.22763345408998986,0.22659531128617158
34,5.446335762351055,5.9688205951399365,5.768532434534182,5.608540989414062,0.23644894126454083,0.1774107045738917,0.24393534654610521,0.24977611064034225,0.24915345425188587
35,5.317701281173091,5.987905966922426,5.812061102362003,5.652124276445224,0.25950242113997374,0.1850972286550476,0.26498792387201436,0.2738127747446374,0.27384985453591876
36,5.177837659101495,5.998380668272754,5.853740815294361,5.6965216997150785,0.2848035868435802,0.1923254436032724,0.2871583486212832,0.2998185498149378,0.3008376055285245
37,5.028033484796106,5.998951057619787,5.89253009072252,5.741169996075546,0.3125715849688237,0.19901342402814906,0.3103548662690897,0.3278477015161353,0.33026426821397487
38,4.869732922882566,5.988415104995929,5.927270533967788,5.785375984292518,0.34304692863149194,0.20508635702944725,0.33445666566424304,0.3579279454397071,0.3622664791948077
39,4.704497739595625,5.965710031892555,5.956710119330802,5.828310806814576,0.37649358067924693,0.2104786852310772,0.3593139421146706,0.3900548776904862,0.39696354139681744
40,4.53396617737026,5.929956006190255,5.979533111052508,5.869012297294408,0.41320124001153385,0.2151360158817225,0.38474897316706774,0.4241865970488912,0.43445036050357094
41,4.359811568296083,5.880493349998412,5.994399004793953,5.906392081404364,0.4534878508128584,0.21901680092692055,0.41055820123461795,0.4602391294753519,0.47478960730135855
42,4.183697072179779,5.816911251678724,5.999987033697882,5.939252857309306,0.49770235643321115,0.22209332384695335,0.4365152726126754,0.4980828585780481,0.5180037763612747
43,4.007252115051405,5.739066728485652,5.995044123149714,5.966313881868575,0.5462277217684343,0.22435383171224454,0.46237494986604766,0.5375402894732233,0.5640673927318213
44,3.8320153800256764,5.647093240769292,5.978433380322167,5.986245065120493,0.5994842503189411,0.22580133578268047,0.48787778551479904,0.578385342956462,0.6128999167723953
45,3.6594149237728923,5.541399214097165,5.94918008170839,5.997707957655821,0.6579332246575682,0.22645438310354726,0.5127554479439815,0.6203443186429524,0.6643597844367964
46,3.4907380073633787,5.422657049746207,5.906512429301478,5.9994020444265646,0.7220809018385468,0.22634605837607166,0.5367365656269244,0.6630985585777512,0.7182401092302154
47,3.327109513664814,5.291783698207797,5.849894331013953,5.9901129322624,0.7924828983539177,0.22552259185338105,0.5595529571731366,0.70628870295303,0.7742662887424225
48,3.1694769389957305,5.149914135111251,5.779049734854346,5.968760882353958,0.8697490026177834,0.2240414238200503,0.5809461094294252,0.7495205816670801,0.8320959920999041
49,3.0186024051408356,4.9983690180598295,5.693976000101834,5.934444425753376,0.9545484566618342,0.22196883697301753,0.6006737311492968,0.7923723580544628,0.8913213315206974
50,2.8750616304045726,4.838618203016776,5.594947415927334,5.8864787272452475,1.0476157527896652,0.21937729755099536,0.6185162339009355,0.8344029112241362,0.9514735184739931
51,2.739249663351053,4.672242941694159,5.482508870868773,5.824425111028531,1.149756995397737,0.21634269668455786,0.6342832478824262,0.8751612042961172,1.0120296969143117
52,2.6113925473677804,4.500887405468385,5.357459981114773,5.748111237521993,1.261856883066021,0.21294167136795694,0.6478178185220169,0.914196274926389,1.0724218878796028
53,2.491563635368876,4.326228733522445,5.2208324744014725,5.657640766218629,1.384886371393873,0.20924915935510993,0.6590034624395101,0.9510680067318253,1.132047703150357
54,2.379703378249232,4.149931458733328,5.07386054269064,5.553392966884263,1.5199110829529348,0.20533633540660529,0.6677672302692882,0.9853580243498786,1.1902826371211128
55,2.2756450718890764,3.9735995699715287,4.917945592086082,5.436012624275271,1.6681005372000592,0.20126978123662992,0.6740796293973982,1.0166804579830786,1.2464935471842655
56,2.179118856183145,3.7987617321765574,4.754618552598598,5.3063915069485805,1.8307382802953698,0.19710697233594443,0.6779610872139059,1.0446926614001557,1.3000531361072702
57,2.089801547835202,3.6268149698762753,4.585499077639146,5.165642353168962,2.0092330025650478,0.19290092404463743,0.6794737621912126,1.0691050093890608,1.3503549450643668
58,2.0073153067382337,3.459022476590274,4.4122500515466685,5.015069078637219,2.2051307399030455,0.18869611278444073,0.678726768277912,1.0896883286471486,1.396829366918784
59,1.9312501448318247,3.296474334107116,4.236551038690342,4.856125251253502,2.4201282647943834,0.1845295144001001,0.6758651883287978,1.1062858323068716,1.4389568696141082
60,1.8611817271855118,3.140082556486691,4.060041960308447,4.690380555747468,2.656087782946687,0.1804317122361589,0.6710669354472998,1.1188128797081502,1.4762844756809264
61,1.7966697991731826,2.990568099013168,3.88428289153396,4.519481465566704,2.9150530628251787,0.17642412818457748,0.6645328052998996,1.1272601035758993,1.5084401357198154
62,1.7372899943046067,2.8484828985071053,3.7107464161591484,4.345097430123325,3.1992671377973845,0.1725251134700089,0.6564868857892565,1.1316988145240794,1.5351387455651644
63,1.682625586551515,2.7141850629581032,3.5407728553693083,4.168894984115283,3.5111917342151346,0.16874680330628666,0.6471565660636004,1.132277518891431,1.5561978095959965
64,1.6322779819500723,2.5878708717655625,3.3755225672767257,3.992494262231317,3.8535285937105312,0.16509706388305093,0.6367716121737551,1.1292020546862842,1.5715425502885507
65,1.585871046932784,2.4695864207856815,3.2160032062713455,3.8174237107936073,4.229242874389499,0.1615806862787271,0.6255550502238456,1.1227463467724184,1.5812014208134588
66,1.5430518566444296,2.359244860966273,3.0630436023966827,3.645102036649862,4.641588833612782,0.15819832649717147,0.6137164142067127,1.1132361246292461,1.5853139876798177
67,1.5034965990546174,2.256646325715345,2.9172664201043563,3.4768039670077733,5.09413801481638,0.15495022665418465,0.6014461138455363,1.101019993240286,1.5841200427304052
68,1.4669073794771244,2.1614786022211354,2.7791295778363208,3.3136503903798067,5.590810182512229,0.1518344928902412,0.5889064291784895,1.0864791148382045,1.5779570557139746
69,1.433012679086137,2.0734066765249626,2.6489112104456667,3.156567129125441,6.135907273413176,0.1488481699067371,0.5762475373296129,1.0699986178293663,1.567228317131341
70,1.4015673495981982,1.9919941255666984,2.526721672173691,3.0063156004738567,6.7341506577508286,0.14598770626098964,0.5635809644599518,1.0519564801119798,1.5524117601720115
71,1.3723470318594533,1.9167847244490874,2.4125211631685133,2.863467633595947,7.390722033525782,0.14324874013825073,0.5509973053196238,1.0327017910405558,1.5340253683407896
72,1.3451511078639085,1.8473060597021211,2.306130923712271,2.7284094671463555,8.111308307896872,0.14062682983635555,0.5385650800068614,1.0125526415292452,1.5126064459861674
73,1.3197992612454086,1.7830854914830805,2.207253427362422,2.6013417550287623,8.902150854450392,0.13811741212850054,0.5263342665560095,0.9917799793865695,1.4886840349448696
74,1.2961296192704375,1.7236630333055,2.1154965399470926,2.482282968534379,9.770099572992256,0.13571590023329957,0.5143400314509142,0.9706058061036686,1.462750853554233
75,1.274001845659407,1.6686009436886449,2.0304004891880645,2.3710801696764663,10.722672220103243,0.13341842518977892,0.5026062295430361,0.9492048230263879,1.435239684002762
76,1.253272832288774,1.6174898625773788,1.95146551362868,2.267432152794573,11.768119524349991,0.13121880004449193,0.49114829925057496,0.9277102362591658,1.4065104103199988
77,1.2338341209952646,1.5699520743559718,1.8781769142361988,2.170918708300572,12.91549665014884,0.1291138251541008,0.47997550233472325,0.9062216231359347,1.3768460065806805
78,1.215580551597899,1.5256423439157447,1.810025203030749,2.081037676349991,14.174741629268063,0.12709929274877826,0.46909248293884837,0.884812925599059,1.34646011845168
79,1.1984171923765612,1.484255817499729,1.7465201325755908,1.997240650928755,15.556761439304722,0.12517109792896866,0.45850321341947137,0.8635390355809354,1.3155099290874834
80,1.1822625273871001,1.445484448115337,1.687198634998435,1.9189626680384384,17.07352647470692,0.12332579149534724,0.44819778488549233,0.8424402619747038,1.2841099464730372
81,1.1670285263316644,1.4090888642362787,1.63162737569583,1.8456424620575245,18.73817422860385,0.12155821946135938,0.43817803833215246,0.8215446199746872,1.2523427195715946
82,1.1526460820419475,1.3748156589330154,1.5794007026484036,1.776733125421629,20.565123083486537,0.1198648071308505,0.4284281696849253,0.8008680658565365,1.2202651310141632
83,1.1390460774516085,1.3424579956253841,1.5301357788499252,1.711704462789842,22.570197196339215,0.118241323424104,0.4189426336801071,0.7804137298557446,1.1879104895445485
84,1.126159151814854,1.3118054965163446,1.4834739158584545,1.650040719856413,24.770763559917114,0.11668293185861495,0.4097040566616547,0.7601743100208874,1.1552891064917694
85,1.1139250137285248,1.2826400711801702,1.4390407928264264,1.5912384820999215,27.185882427329428,0.11518552040384045,0.400686448793651,0.7401173579296692,1.122391168936769
86,1.1022746229476905,1.2547645612156457,1.396508677516812,1.5348116832851861,29.836472402833405,0.11374348590200642,0.3918655782503084,0.7202171220198317,1.0891971949454116
87,1.0911436158711514,1.22800204343255,1.3555577831432866,1.4803112096866653,32.745491628777316,0.1123515825189636,0.3832205828809257,0.7004427857408746,1.0557007165298895
88,1.0804732965115231,1.2021821645655024,1.3159157496161504,1.4273661059453486,35.938136638046295,0.11100512285507774,0.3747304759158522,0.6807826083180671,1.021945861166595
89,1.070219036269021,1.1771884110316089,1.2774004201624996,1.3757506545159892,39.4420605943766,0.10970108570482956,0.36639108309280405,0.6612690190341216,0.9880780067767416
90,1.060362514448398,1.1529858393303185,1.2399764937406397,1.3254561349771965,43.287612810830616,0.10843963851512275,0.3582241854630636,0.642007124069385,0.9543918140985054
91,1.0509260881549818,1.1296573568768722,1.2038119769667897,1.2767807584807829,47.50810162102798,0.10722584802186495,0.3502882331575168,0.6231978394708386,0.921370170963093
92,1.0419830961314447,1.1074287551508408,1.1693104544655004,1.2303469109067444,52.140082879996896,0.10607079893942728,0.34268413703468503,0.6051437426264946,0.8896700092398193
93,1.0336612552179356,1.0866634653138196,1.1370870968345144,1.1870541102094816,57.223676593502205,0.10499187918171399,0.3355504614172422,0.5882237029668241,0.8600544833182465
94,1.0261259014828779,1.0678180451386086,1.1078842859663915,1.1479343726397622,62.802914418342596,0.10401056159688153,0.3290469994983212,0.5728420528794891,0.8332720717692784
95,1.0195488063059102,1.0513481578718114,1.0824149356297668,1.1139314029322194,68.92612104349702,0.10314856457774176,0.3233237736822991,0.559349210559728,0.8099091153204229
96,1.0140653390411718,1.0376021617400402,1.0611932878678527,1.0856809452744767,75.64633275546291,0.10242270342871136,0.31848924793583594,0.5479690045460944,0.7902787212480675
97,1.0097345255015973,1.0267240518268428,1.044403256989898,1.06335466774347,83.02175681319753,0.1018401934460018,0.31458330023412584,0.5387534780369283,0.7743732764578095
98,1.0065171740468026,1.0186074342249245,1.0318440076570745,1.0466205993188777,91.11627561154896,0.10139618088420611,0.31156679526349673,0.5315756647889377,0.7618932794444281
99,1.004281011919719,1.012917009561437,1.0229775547123698,1.0347262903877246,100.0,0.10107451252415525,0.30933125925065663,0.5261648921901371,0.7523327851453511
