,0.1_napp,0.3_napp,0.5_napp,0.7_napp,kN,0.1_kapp,0.3_kapp,0.5_kapp,0.7_kapp
0,3.0296336741936454,1.813254534326908,1.5340111291445364,1.408838435260689,0.01,0.023106123937235826,0.018294486801374188,0.016123974381806003,0.014968207927080234
1,3.181647812216626,1.8752720951978925,1.5730083023510086,1.4379089126882154,0.010974987654930561,0.025633176726127818,0.020450205278165864,0.01800211216183459,0.01668782245490858
2,3.338505767157007,1.9405987656993076,1.6142040901194374,1.4685849184096667,0.012045035402587823,0.028309813685051248,0.022816724709904215,0.020078785355590198,0.0185922902564922
3,3.4978028864555077,2.010069743592903,1.6581849710438432,1.501283855376301,0.013219411484660288,0.03111454962814096,0.02542918686578577,0.022387402203354872,0.0207113730192081
4,3.6582322918705668,2.084845098620627,1.7057343355330832,1.5365711697409115,0.014508287784959394,0.03403832352950137,0.028333175275184835,0.024970366641373806,0.023082861824739256
5,3.819429187942641,2.166177273449972,1.757716789415592,1.5750762237497196,0.015922827933410922,0.03708281508373829,0.031580269752802564,0.027877347610414417,0.02575128805481315
6,3.9815027859073266,2.2552166058591565,1.8149553673799736,1.6174108204187305,0.01747528400007684,0.040254585307205416,0.03522376960431608,0.0311620144507056,0.028765952660741646
7,4.14464659605089,2.3528110962362594,1.8781335167579376,1.6641034051966201,0.019179102616724886,0.04356007174056633,0.03931280114340949,0.03487875739112183,0.032178666806801766
8,4.30877467997674,2.459405452339411,1.9477445185035462,1.7155665889861258,0.02104904144512021,0.047000559208393806,0.043888139168654215,0.0390800156915116,0.03604196004433756
9,4.473328818241939,2.5750557980422872,2.024110053438862,1.7721111931148257,0.023101297000831605,0.05056913264768186,0.04898066741045237,0.04381552129095791,0.04040868575198006
10,4.637213787915802,2.699550296922986,2.1074538496347204,1.8339989000817023,0.025353644939701114,0.054249220740593,0.054613094157512906,0.04913369912441715,0.04533333436520144
11,4.798859720021483,2.832519262606914,2.197981382555427,1.9015053456578987,0.027825594022071243,0.05801492635039922,0.060801781499472095,0.05508392137727285,0.05087443536505867
12,4.956377830144696,2.973550524672529,2.2959231343158812,1.9749417059204724,0.030538555088334154,0.06183285975986614,0.0675599048990164,0.06171801751847884,0.05709533484922355
13,5.107755428284112,3.122160865829437,2.4015072131779633,2.054675065037937,0.033516026509388425,0.0656648074504623,0.07489597291072105,0.06908876657899664,0.06406586128534328
14,5.251041261353719,3.2777680740298623,2.514948011200453,2.14109156979649,0.03678379771828634,0.06947055677273342,0.08281254688851984,0.07724951969030763,0.07186044065945982
15,5.384471695283819,3.439632340360222,2.6363835757566743,2.2345709914871352,0.040370172585965536,0.07321003119801395,0.09130350988388285,0.08625056648308319,0.08055669125551737
16,5.506555698549325,3.606860964192407,2.7658498388782697,2.335464768977308,0.044306214575838825,0.07684499576806302,0.10035367972915223,0.09613715202766723,0.09023386628276517
17,5.6161067304465115,3.778382685735367,2.9032322780911946,2.44405169792089,0.04862601580065353,0.08034001485547126,0.10993694413800358,0.10694563122872897,0.10096900945005334
18,5.71225266072971,3.9529502258458216,3.0482792301829593,2.5605486832498743,0.0533669923120631,0.08366313401606477,0.12001542205306534,0.11870329776278313,0.11283719497789475
19,5.794433421828029,4.129181397788117,3.200559967139212,2.685064280135206,0.05857020818056667,0.08678640759412744,0.13054040968624547,0.13142444488009467,0.1259068362448823
20,5.862394302103042,4.305567595264552,3.3594644166422643,2.8175879963088764,0.06428073117284322,0.08968638722591682,0.14145188347042334,0.14510896273997154,0.14023762009632554
21,5.916175919917187,4.48050273895375,3.5241853773444323,2.9579475809666746,0.07054802310718646,0.09234457396623454,0.15267899648055724,0.15973959353706707,0.15587528291093827
22,5.956100067983004,4.652332524749857,3.693743977391754,3.1058278105083996,0.0774263682681127,0.09474780032191184,0.16414173828601933,0.17528220571916212,0.17285173987368238
23,5.982748703923203,4.81938172378701,3.8669831831748684,3.2607341485488925,0.08497534359086446,0.0968884665376669,0.17575167237914285,0.19168376662193023,0.19117999631093138
24,5.9969359163505,4.979993988256199,4.042579491763725,3.421968968920558,0.093260334688322,0.09876459961572684,0.18741348503103897,0.20887156635541243,0.21084976115971335
25,5.999671826796881,5.132581753920044,4.219083864660658,3.588670270029371,0.10235310218990264,0.1003796820954247,0.19902730406421987,0.22675480741179954,0.23182916467301984
26,5.9921204414359535,5.275660343562532,4.394936676730709,3.7597888869930007,0.11233240329780277,0.10174226039061326,0.2104904835067065,0.24522433070208668,0.25406036738786286
27,5.975552072237745,5.407888152824156,4.568499508026135,3.934092107999522,0.12328467394420665,0.10286532205930618,0.2216999711762355,0.2641537848625673,0.2774575644069914
28,5.951295263149216,5.528107686058209,4.738103202231206,4.110214803600181,0.13530477745798075,0.103765524637793,0.2325550839384956,0.28340242772764995,0.30191019376292133
29,5.920688939453622,5.635374671072778,4.902078579841989,4.286660519724954,0.1484968262254465,0.1044622904079305,0.24295991922635024,0.3028168027311024,0.3272809855020468
30,5.885038950397366,5.728986885086092,5.058797369351311,4.461829615914064,0.16297508346206444,0.10497685948836345,0.2528260837502311,0.3222336080515286,0.3534069797635559
31,5.845580914806318,5.808503779668379,5.2067197371565,4.634073257356128,0.1788649529057435,0.10533136037894349,0.2620751886647592,0.3414836015213908,0.38010388753803404
32,5.803451038976297,5.873759602880403,5.344429842201738,4.801716272778078,0.19630406500402714,0.10554795890366968,0.27064122491472953,0.3603949274414912,0.4071672749178844
33,5.759665683725787,5.924865063821676,5.470674455482309,4.963097420443941,0.21544346900318845,0.1056481316943405,0.2784724516482177,0.378797206258896,0.4343761550155139
34,5.715109601722715,5.962200329323029,5.584401306955115,5.116620623151351,0.23644894126454083,0.10565209236037681,0.28553287906966357,0.39652617871548845,0.46149851571298
35,5.670532042202408,5.98639696740622,5.68478628898628,5.260787992218259,0.25950242113997374,0.10557837996995802,0.29180308866687993,0.4134278279604658,0.48829526128729017
36,5.626549468422646,5.998310868459087,5.771258566714287,5.3942403826112315,0.2848035868435802,0.10544360440337078,0.2972804273064199,0.4293628317221862,0.5145257202185208
37,5.583653331504954,5.998985441398734,5.843516393780414,5.515799243651825,0.3125715849688237,0.10526233046676386,0.30197838325631604,0.4442105802837591,0.5399541272332876
38,5.542221334959606,5.989608770588248,5.90153517050171,5.624495815724913,0.34304692863149194,0.10504707614530291,0.3059253046351171,0.45787281721117973,0.564355192808612
39,5.502530721668964,5.971466271779558,5.945564370249109,5.71960073743158,0.37649358067924693,0.10480839710966099,0.3091624659969668,0.4702764282945923,0.5875204896463202
40,5.464772373378173,5.945892032248448,5.976115108840932,5.800644711136308,0.41320124001153385,0.10455503091955648,0.3117416404350827,0.4813753989222743,0.6092643452774344
41,5.429064776392367,5.9142217624988085,5.993937187665148,5.867432122172391,0.4534878508128584,0.1042940772247742,0.3137223511338412,0.4911516350715974,0.6294293946598215
42,5.395467175686417,5.877750628242781,5.999986985112416,5.920044210067941,0.49770235643321115,0.10403119441765919,0.3151690486223124,0.4996146104297598,0.6478911547662888
43,5.363991448344859,5.8376971880767785,5.995387310674648,5.958832596155057,0.5462277217684343,0.10377079679037784,0.3161483234720708,0.5067997597835503,0.6645615387862797
44,5.334612856551706,5.795176033780857,5.98138188159243,5.984403348673591,0.5994842503189411,0.10351625122747238,0.31672643292202174,0.5127657618283401,0.6793910931703236
45,5.307278632695573,5.751179010147454,5.959286932462647,5.99758969349631,0.6579332246575682,0.10327004266685583,0.3169672005055373,0.517590863204807,0.69236943124456
46,5.281915792692366,5.7065650327735185,5.930443060839599,5.999417080017529,0.7220809018385468,0.10303393808977881,0.31693038678559815,0.5213685262981482,0.7035241249036048
47,5.258437243543517,5.662057564855835,5.896170245350095,5.991059647460211,0.7924828983539177,0.10280912199244215,0.31667054729313254,0.524202727241153,0.7129177066550318
48,5.23674676417696,5.61824843474547,5.857728579195433,5.973795311939983,0.8697490026177834,0.10259631415910177,0.31623635376319265,0.5262032469095662,0.7206435791931699
49,5.216742942374087,5.575606385815939,5.816286588904404,5.9489550172025325,0.9545484566618342,0.10239586899550894,0.31567031747381524,0.5274812712995864,0.726820183510288
50,5.198322233151566,5.534488838582611,5.772898143190042,5.917876511433572,1.0476157527896652,0.10220785825216169,0.3150088401973328,0.5281455525694881,0.7315847982144422
51,5.181381282524725,5.4951554246018315,5.728488158805984,5.881861078922312,1.149756995397737,0.10203213898244134,0.3142825082925354,0.5282993031075335,0.7350868698570412
52,5.1658186560092165,5.457782116387129,5.683846452209669,5.842137004378024,1.261856883066021,0.10186840884589798,0.31351655059457284,0.5280378934338632,0.7374815379193537
53,5.151536084455029,5.422475085028471,5.639628641151635,5.799831106950614,1.384886371393873,0.10171625058345367,0.31273139273284306,0.5274473521656794,0.7389237397809062
54,5.138439329157323,5.389283650183209,5.596362569021893,5.755949051628435,1.5199110829529348,0.10157516747200933,0.31194325144222534,0.5266035904159287,0.739563209401462
55,5.126438747284192,5.358211944326077,5.554458677548351,5.711364278756016,1.6681005372000592,0.10144461127582759,0.31116472740641066,0.5255722356732456,0.7395405539958017
56,5.115449626033413,5.329229124371166,5.514222833495494,5.666814723027519,1.8307382802953698,0.1013240040515336,0.3104053691255337,0.5244089402085275,0.7389844691708596
57,5.105392341408918,5.302278077204249,5.47587030330442,5.6229060111331925,2.0092330025650478,0.10121275497127724,0.30967218927685725,0.5231600266308012,0.7380100428773994
58,5.096192383831861,5.2772826808690265,5.4395398252423,5.580119591970031,2.2051307399030455,0.10111027308882818,0.30897012454726913,0.5218633445811799,0.7367180188528536
59,5.087780286840284,5.254153745716478,5.4053070776956575,5.5388242152836265,2.4201282647943834,0.10101597687590305,0.30830243623296744,0.5205492397877713,0.7351948413209678
60,5.08009148594278,5.232793782006374,5.373197000096562,5.499289339960294,2.656087782946687,0.1009293011801219,0.3076710525780146,0.519241549711293,0.7335132899001341
61,5.0730661297820285,5.213100757374386,5.3431947334587155,5.46169925264955,2.9150530628251787,0.10084970215967368,0.30707685685999836,0.5179585720759708,0.7317335159011354
62,5.066648858206028,5.194971004120583,5.315255060988497,5.4261669822080725,3.1992671377973845,0.10077666059284206,0.30651992665534367,0.5167139668546314,0.7299043173469719
63,5.0607885622178355,5.178301417689858,5.289310370037319,5.392747371914888,3.5111917342151346,0.10070968396602382,0.30599972989354673,0.5155175704658311,0.7280645213237645
64,5.055438133304575,5.162991085452162,5.265277217731647,5.36144889131785,3.8535285937105312,0.10064830758241043,0.30551528419172624,0.5143761113863368,0.7262443709556557
65,5.050554210550871,5.14894245258784,5.243061660597449,5.332244010626698,4.229242874389499,0.10059209494647876,0.30506528471536004,0.5132938284202019,0.7244668511411326
66,5.046096930441163,5.136062123352364,5.222563481427764,5.305078066490607,4.641588833612782,0.10054063759956818,0.30464820585752717,0.5122729935665614,0.7227489066279832
67,5.04202968241836,5.12426137822396,5.2036795020164455,5.279876672542083,5.09413801481638,0.10049355453643602,0.3042623813230312,0.5113143503126816,0.7211025295319485
68,5.038318873786339,5.113456469894145,5.186306103804583,5.25655179336553,5.590810182512229,0.10045049133726736,0.30390606639029716,0.5104174735976271,0.7195357086196398
69,5.034933705179229,5.103568754120317,5.1703411268276485,5.235006635382629,6.135907273413176,0.10041111909366637,0.30357748588497285,0.5095810648038899,0.7180532430801767
70,5.031845957480162,5.0945246933820805,5.155685247701121,5.215139501496134,6.7341506577508286,0.10037513319433186,0.30327487039478873,0.5088031892489302,0.7166574272089583
71,5.029029791299696,5.086255771432098,5.142242948990735,5.196846781445995,7.390722033525782,0.10034225203586461,0.3029964833269445,0.5080814660835031,0.7153486201694331
72,5.026461558789439,5.078698341274464,5.129923166930072,5.180025224276905,8.111308307896872,0.1003122156911358,0.3027406404905356,0.5074132185490077,0.7141257142332506
73,5.024119627649372,5.071793428091741,5.118639688513933,5.164573618074667,8.902150854450392,0.1002847845652766,0.3025057238264358,0.5067955915660471,0.7129865144622185
74,5.021984217723285,5.065486503855982,5.108311357780658,5.150394003396943,9.770099572992256,0.1002597380769347,0.30229019061502627,0.5062256427725935,0.7119280447462706
75,5.020037248801698,5.059727244173527,5.098862136772001,5.137392508140393,10.722672220103243,0.10023687336159436,0.30209257909154646,0.5057004119226421,0.7109467908500577
76,5.018262200027726,5.05446927669905,5.090221060430998,5.125479994602638,11.768119524349991,0.100216004028278,0.30191151130833394,0.5052169730642027,0.7100389100499545
77,5.016643979522696,5.049669928832338,5.082322114153815,5.114571948929043,12.91549665014884,0.10019695896078992,0.30174569396099027,0.504772472917931,0.7092003066244155
78,5.01516880450743,5.045289977659747,5.0751040573156585,5.104589301921543,14.174741629268063,0.10017958118742998,0.3015939175798555,0.5043641583255529,0.708426862987566
79,5.013824090514797,5.041293407540541,5.06851020884653,5.095457969728359,15.556761439304722,0.10016372680549265,0.301455054618233,0.5039893949290873,0.707714445622696
80,5.012598349495614,5.037647177266127,5.062488212448639,5.087108902677287,17.07352647470692,0.10014926397063204,0.3013280567341001,0.5036456793834376,0.7070589917432343
81,5.011481096389081,5.034320996876989,5.056989788088788,5.079477938588939,18.73817422860385,0.10013607195468714,0.3012119514226768,0.5033306462133961,0.7064565565482366
82,5.010462762905501,5.03128711755519,5.051970478592932,5.0725056115595315,20.565123083486537,0.10012404025674947,0.30110583835847704,0.5030420706547499,0.7059033468572011
83,5.009534618745221,5.028520133235043,5.047389399247542,5.066136926876734,22.570197196339215,0.10011306778223879,0.30100888548038124,0.5027778686872091,0.7053957432865876
84,5.008688699287897,5.025996794703452,5.043208990051664,5.060321120117824,24.770763559917114,0.10010306207854186,0.30092032497943094,0.5025360945417561,0.7049303142747719
85,5.007917739233356,5.023695836235685,5.039394778604379,5.055011406395257,27.185882427329428,0.10009393862418497,0.3008394492888511,0.5023149368423656,0.7045038234175105
86,5.0072151119234265,5.021597703629799,5.035915151792811,5.050164727315318,29.836472402833405,0.10008562017301625,0.30076560287846765,0.502112713452247,0.7041132317581942
87,5.006574773818197,5.019684855382288,5.03274113926139,5.04574150124811,32.745491628777316,0.10007803614859846,0.3006981957149206,0.5019278655878864,0.7037556963769032
88,5.005991213611072,5.017940933820541,5.029846209207896,5.04170537928046,35.938136638046295,0.10007112208368507,0.30063667307150715,0.5017589514725378,0.703428566060907
89,5.005459405785721,5.016351106446374,5.027206076287629,5.038023011329354,39.4420605943766,0.10006481910569676,0.3005805299730496,0.5016046397011649,0.7031293751447971
90,5.004974768101721,5.014901827884917,5.024798522301532,5.034663822194912,43.287612810830616,0.1000590734619983,0.3005293032415583,0.501463702557578,0.702855835842855
91,5.004533122773565,5.013580731000246,5.022603228875708,5.031599799562673,47.50810162102798,0.10005383608410942,0.3004825683161095,0.5013350093531094,0.7026058296977007
92,5.004130660985569,5.012376526592911,5.020601621886555,5.02880529487328,52.140082879996896,0.10004906218702607,0.3004399362566679,0.5012175198953736,0.7023773985761488
93,5.003763910485435,5.0112789112624,5.018776727544219,5.026256835667148,57.223676593502205,0.10004471090156565,0.3004010509381437,0.5011102781966503,0.7021687352565138
94,5.0034297060009765,5.010278483027333,5.017113038987322,5.023932950985787,62.802914418342596,0.10004074493734588,0.3003655864499911,0.5010124064068238,0.7019781740792342
95,5.003125162211733,5.009366663351771,5.01559639339767,5.021814008864076,68.92612104349702,0.10003713027345756,0.3003332446327184,0.5009230990644252,0.7018041817171538
96,5.00284764911521,5.008535626362762,5.014213858514876,5.019882065019305,75.64633275546291,0.10003383587589089,0.30030375284113375,0.5008416176329266,0.7016453481092955
97,5.002594769484975,5.007778233440644,5.012953628041821,5.018120723155248,83.02175681319753,0.10003083343753874,0.3002768618328212,0.5007672853384036,0.70150037778526
98,5.0023643383643766,5.0070879736169385,5.011804925893689,5.016515005614833,91.11627561154896,0.10002809714159415,0.3002523438327159,0.5006994823733272,0.7013680815317294
99,5.002154364323649,5.006458908950282,5.010757917791301,5.015051234147726,100.0,0.10002560344439368,0.300229990742832,0.5006376413631483,0.7012473684914683
